34.69118,-1.966135|34.70118,-1.956135
34.049946999999975,-4.9435800000000025|34.05994699999997,-4.933580000000003
34.05994699999997,-5.04358|34.06994699999997,-5.033580000000001
34.05994699999997,-5.033580000000001|34.06994699999997,-5.023580000000001
34.05994699999997,-5.023580000000001|34.06994699999997,-5.013580000000001
34.05994699999997,-5.013580000000001|34.06994699999997,-5.003580000000001
34.05994699999997,-5.003580000000001|34.06994699999997,-4.9935800000000015
34.05994699999997,-4.9935800000000015|34.06994699999997,-4.983580000000002
34.05994699999997,-4.983580000000002|34.06994699999997,-4.973580000000002
34.05994699999997,-4.973580000000002|34.06994699999997,-4.963580000000002
34.05994699999997,-4.963580000000002|34.06994699999997,-4.953580000000002
34.05994699999997,-4.953580000000002|34.06994699999997,-4.9435800000000025
34.05994699999997,-4.9435800000000025|34.06994699999997,-4.933580000000003
34.06994699999997,-5.023580000000001|34.07994699999997,-5.013580000000001
34.06994699999997,-5.013580000000001|34.07994699999997,-5.003580000000001
34.06994699999997,-5.003580000000001|34.07994699999997,-4.9935800000000015
34.06994699999997,-4.9935800000000015|34.07994699999997,-4.983580000000002
34.06994699999997,-4.983580000000002|34.07994699999997,-4.973580000000002
34.06994699999997,-4.973580000000002|34.07994699999997,-4.963580000000002
34.06994699999997,-4.963580000000002|34.07994699999997,-4.953580000000002
34.06994699999997,-4.953580000000002|34.07994699999997,-4.9435800000000025
30.437035,-9.598125|30.446035000000002,-9.589125
30.437035,-9.589125|30.446035000000002,-9.580124999999999
30.437035,-9.580124999999999|30.446035000000002,-9.571124999999999
33.840761,-7.014464|33.855761,-6.999464000000001
33.840761,-6.999464000000001|33.855761,-6.984464000000001
33.840761,-6.984464000000001|33.855761,-6.969464000000001
33.840761,-6.969464000000001|33.855761,-6.9544640000000015
33.840761,-6.9544640000000015|33.855761,-6.939464000000002
33.840761,-6.939464000000002|33.855761,-6.924464000000002
